trading_step,ds,split
0,2010-01-04,Train
1,2010-01-05,Train
2,2010-01-06,Train
3,2010-01-07,Train
4,2010-01-08,Train
5,2010-01-11,Train
6,2010-01-12,Train
7,2010-01-13,Train
8,2010-01-14,Train
9,2010-01-15,Train
10,2010-01-19,Train
11,2010-01-20,Train
12,2010-01-21,Train
13,2010-01-22,Train
14,2010-01-25,Train
15,2010-01-26,Train
16,2010-01-27,Train
17,2010-01-28,Train
18,2010-01-29,Train
19,2010-02-01,Train
20,2010-02-02,Train
21,2010-02-03,Train
22,2010-02-04,Train
23,2010-02-05,Train
24,2010-02-08,Train
25,2010-02-09,Train
26,2010-02-10,Train
27,2010-02-11,Train
28,2010-02-12,Train
29,2010-02-16,Train
30,2010-02-17,Train
31,2010-02-18,Train
32,2010-02-19,Train
33,2010-02-22,Train
34,2010-02-23,Train
35,2010-02-24,Train
36,2010-02-25,Train
37,2010-02-26,Train
38,2010-03-01,Train
39,2010-03-02,Train
40,2010-03-03,Train
41,2010-03-04,Train
42,2010-03-05,Train
43,2010-03-08,Train
44,2010-03-09,Train
45,2010-03-10,Train
46,2010-03-11,Train
47,2010-03-12,Train
48,2010-03-15,Train
49,2010-03-16,Train
50,2010-03-17,Train
51,2010-03-18,Train
52,2010-03-19,Train
53,2010-03-22,Train
54,2010-03-23,Train
55,2010-03-24,Train
56,2010-03-25,Train
57,2010-03-26,Train
58,2010-03-29,Train
59,2010-03-30,Train
60,2010-03-31,Train
61,2010-04-01,Train
62,2010-04-05,Train
63,2010-04-06,Train
64,2010-04-07,Train
65,2010-04-08,Train
66,2010-04-09,Train
67,2010-04-12,Train
68,2010-04-13,Train
69,2010-04-14,Train
70,2010-04-15,Train
71,2010-04-16,Train
72,2010-04-19,Train
73,2010-04-20,Train
74,2010-04-21,Train
75,2010-04-22,Train
76,2010-04-23,Train
77,2010-04-26,Train
78,2010-04-27,Train
79,2010-04-28,Train
80,2010-04-29,Train
81,2010-04-30,Train
82,2010-05-03,Train
83,2010-05-04,Train
84,2010-05-05,Train
85,2010-05-06,Train
86,2010-05-07,Train
87,2010-05-10,Train
88,2010-05-11,Train
89,2010-05-12,Train
90,2010-05-13,Train
91,2010-05-14,Train
92,2010-05-17,Train
93,2010-05-18,Train
94,2010-05-19,Train
95,2010-05-20,Train
96,2010-05-21,Train
97,2010-05-24,Train
98,2010-05-25,Train
99,2010-05-26,Train
100,2010-05-27,Train
101,2010-05-28,Train
102,2010-06-01,Train
103,2010-06-02,Train
104,2010-06-03,Train
105,2010-06-04,Train
106,2010-06-07,Train
107,2010-06-08,Train
108,2010-06-09,Train
109,2010-06-10,Train
110,2010-06-11,Train
111,2010-06-14,Train
112,2010-06-15,Train
113,2010-06-16,Train
114,2010-06-17,Train
115,2010-06-18,Train
116,2010-06-21,Train
117,2010-06-22,Train
118,2010-06-23,Train
119,2010-06-24,Train
120,2010-06-25,Train
121,2010-06-28,Train
122,2010-06-29,Train
123,2010-06-30,Train
124,2010-07-01,Train
125,2010-07-02,Train
126,2010-07-06,Train
127,2010-07-07,Train
128,2010-07-08,Train
129,2010-07-09,Train
130,2010-07-12,Train
131,2010-07-13,Train
132,2010-07-14,Train
133,2010-07-15,Train
134,2010-07-16,Train
135,2010-07-19,Train
136,2010-07-20,Train
137,2010-07-21,Train
138,2010-07-22,Train
139,2010-07-23,Train
140,2010-07-26,Train
141,2010-07-27,Train
142,2010-07-28,Train
143,2010-07-29,Train
144,2010-07-30,Train
145,2010-08-02,Train
146,2010-08-03,Train
147,2010-08-04,Train
148,2010-08-05,Train
149,2010-08-06,Train
150,2010-08-09,Train
151,2010-08-10,Train
152,2010-08-11,Train
153,2010-08-12,Train
154,2010-08-13,Train
155,2010-08-16,Train
156,2010-08-17,Train
157,2010-08-18,Train
158,2010-08-19,Train
159,2010-08-20,Train
160,2010-08-23,Train
161,2010-08-24,Train
162,2010-08-25,Train
163,2010-08-26,Train
164,2010-08-27,Train
165,2010-08-30,Train
166,2010-08-31,Train
167,2010-09-01,Train
168,2010-09-02,Train
169,2010-09-03,Train
170,2010-09-07,Train
171,2010-09-08,Train
172,2010-09-09,Train
173,2010-09-10,Train
174,2010-09-13,Train
175,2010-09-14,Train
176,2010-09-15,Train
177,2010-09-16,Train
178,2010-09-17,Train
179,2010-09-20,Train
180,2010-09-21,Train
181,2010-09-22,Train
182,2010-09-23,Train
183,2010-09-24,Train
184,2010-09-27,Train
185,2010-09-28,Train
186,2010-09-29,Train
187,2010-09-30,Train
188,2010-10-01,Train
189,2010-10-04,Train
190,2010-10-05,Train
191,2010-10-06,Train
192,2010-10-07,Train
193,2010-10-08,Train
194,2010-10-11,Train
195,2010-10-12,Train
196,2010-10-13,Train
197,2010-10-14,Train
198,2010-10-15,Train
199,2010-10-18,Train
200,2010-10-19,Train
201,2010-10-20,Train
202,2010-10-21,Train
203,2010-10-22,Train
204,2010-10-25,Train
205,2010-10-26,Train
206,2010-10-27,Train
207,2010-10-28,Train
208,2010-10-29,Train
209,2010-11-01,Train
210,2010-11-02,Train
211,2010-11-03,Train
212,2010-11-04,Train
213,2010-11-05,Train
214,2010-11-08,Train
215,2010-11-09,Train
216,2010-11-10,Train
217,2010-11-11,Train
218,2010-11-12,Train
219,2010-11-15,Train
220,2010-11-16,Train
221,2010-11-17,Train
222,2010-11-18,Train
223,2010-11-19,Train
224,2010-11-22,Train
225,2010-11-23,Train
226,2010-11-24,Train
227,2010-11-26,Train
228,2010-11-29,Train
