ModelFamily,CandidateName,hidden_dim,num_layers,dropout,effective_dropout,lr,loss_name,best_val_loss_scaled,val_RMSE_dollar,val_MAE_dollar,val_MAPE,val_R2,val_Directional_Accuracy,total_trainable_params,is_selected_final
LSTM,A,64,2,0.2,0.2,0.001,MSELoss,0.059212442130092684,56.955435481254774,25.36362648010254,8.325945854187012,-1.9171860218048096,51.21951219512195,51521,False
LSTM,B,64,2,0.2,0.2,0.0005,SmoothL1Loss,0.03026591964611193,57.589625293157184,24.617570877075195,8.055734634399414,-1.9825124740600586,50.89430894308943,51521,False
LSTM,C,64,2,0.0,0.0,0.0005,SmoothL1Loss,0.0030442244683702786,18.263415278815852,15.321479797363281,5.211174011230469,0.7000438570976257,51.056910569105696,51521,True
LSTM,D,64,2,0.1,0.1,0.0003,SmoothL1Loss,0.05161626719362367,76.96583492754269,31.727638244628906,10.379279136657715,-4.327086448669434,50.081300813008134,51521,False
LSTM,E,32,1,0.0,0.0,0.001,MSELoss,0.007855295289943857,20.74483122276336,16.494176864624023,5.5927581787109375,0.6129976511001587,51.54471544715447,5025,False
LSTM,F,128,2,0.2,0.2,0.0005,SmoothL1Loss,0.028845522328605495,56.22056087272476,22.000431060791016,7.182702541351318,-1.842392921447754,49.75609756097561,201345,False
GRU,A,64,2,0.2,0.2,0.001,MSELoss,0.0020854230599129586,10.688721347199857,8.762752532958984,3.073044538497925,0.8972586393356323,49.59349593495935,38657,False
GRU,B,64,2,0.2,0.2,0.0005,SmoothL1Loss,0.001093113149811582,10.944003716473757,8.899884223937988,3.109924077987671,0.8922924399375916,49.105691056910565,38657,False
GRU,C,64,2,0.0,0.0,0.0005,SmoothL1Loss,0.0010995521774227785,10.976187855038814,8.933448791503906,3.1131978034973145,0.8916580080986023,49.43089430894309,38657,False
GRU,D,64,2,0.1,0.1,0.0003,SmoothL1Loss,0.0013390980021104337,12.112946801856655,10.012124061584473,3.4603285789489746,0.8680548667907715,48.13008130081301,38657,False
GRU,E,32,1,0.0,0.0,0.001,MSELoss,0.0023422839074600035,11.327875131942566,9.068083763122559,3.140671491622925,0.8846040368080139,50.24390243902439,3777,False
GRU,F,128,2,0.2,0.2,0.0005,SmoothL1Loss,0.0007474457260175812,9.04968492159676,7.4619927406311035,2.656245708465576,0.9263520240783691,49.43089430894309,151041,True
